Age,Gender,Income,Employment Type,Experience,Loan Amount,Loan Duration,Credit History,Payment History,Existing Loans,Debt,Savings,EMI,Credit Card Utilization,Loan Purpose,Marital Status,Education,Default History,Interest Rate,Monthly Balance,Credit Mix,Payment Behaviour,Outstanding Debt,Monthly Salary,Occupation,Target
43,Male,77124.95,Developer,17,50000,12,25,Excellent,0,551.66,58771.96,833.33,34.46,Business,Single,High School,1,23,0,Bad,Low_spent_Medium_value_payments,4972.4,7081.88,Musician,Not Creditworthy
45,Male,20261.85,Scientist,24,116352.66,84,12,Good,7,1300.71,6004.78,9696.06,22.87,Home,Single,Master,1,11,269.27,Good,Low_spent_Large_value_payments,1393.72,3081.17,Architect,Not Creditworthy
53,Male,34800.96,Developer,32,152965,84,10,Average,3,344.4,20241.99,6373.54,38.75,Education,Married,Diploma,1,6,386.04,Standard,Low_spent_Small_value_payments,125.25,3132.52,Entrepreneur,Not Creditworthy
35,Male,125454.34,Doctor,12,134998.57,48,10,Poor,4,281.42,33754.91,5624.94,28.62,Personal,Single,Bachelor,0,16,520.4,Standard,High_spent_Small_value_payments,1197.91,6412.76,Manager,Creditworthy
33,Female,100716.36,Writer,12,50000,84,15,Average,0,605.24,68346.62,4166.67,25.51,Car,Divorced,PhD,1,8,386.92,Good,High_spent_Large_value_payments,284.95,1978.5,Journalist,Not Creditworthy
43,Male,20133.61,Media_Manager,18,109762.19,48,19,Poor,6,1265.65,1637.87,4573.42,36.79,Medical,Single,High School,0,18,168.12,Standard,Low_spent_Small_value_payments,348.7,4806.73,_______,Creditworthy
39,Male,15968.14,Developer,15,139812.06,60,11,Excellent,8,4912.8,3014.76,5825.5,39.89,Personal,Single,PhD,1,32,224.71,Bad,Low_spent_Large_value_payments,3117.01,5948.16,Teacher,Not Creditworthy
26,Male,10000,Media_Manager,0,92661.62,84,25,Good,3,1363.34,1359.94,2573.93,34.89,Personal,Single,Bachelor,1,31,274.51,Bad,!@9#%8,4586.12,3362.15,Entrepreneur,Not Creditworthy
43,Male,32189.71,Mechanic,22,50000,36,18,Good,2,2264.71,24574.93,1388.89,31.82,Business,Single,Bachelor,0,9,383.73,Good,Low_spent_Medium_value_payments,338.95,8309.46,Media_Manager,Creditworthy
20,Female,72559.36,Unemployed,0,50000,36,22,Average,4,1173.7,41553.4,1041.67,38.17,Car,Married,Bachelor,1,4,203.55,Good,Low_spent_Medium_value_payments,651.09,0,Scientist,Not Creditworthy
18,Male,39887.22,Developer,0,110437.33,24,14,Poor,1,3119.6,9899.99,1840.62,38.24,Car,Single,Master,1,14,289.25,Standard,Low_spent_Small_value_payments,811.08,0,Journalist,Not Creditworthy
25,Female,24195.37,Journalist,0,50000,36,14,Average,0,1163.09,1692.49,833.33,28.41,Personal,Single,Bachelor,1,4,489.63,_,High_spent_Large_value_payments,302.1,0,Manager,Not Creditworthy
31,Other,51113.85,Entrepreneur,8,101126.36,12,16,Good,8,3164.78,20427.17,1685.44,33.36,Personal,Single,Bachelor,0,7,423.25,Standard,High_spent_Large_value_payments,1274.89,0,Scientist,Creditworthy
28,Male,39800.12,Writer,4,67842.96,60,21,Good,3,660.69,27851.76,5653.58,38.15,Medical,Single,PhD,1,17,182.1,_,Low_spent_Small_value_payments,2770.15,0,Mechanic,Not Creditworthy
45,Female,132537.24,Musician,22,98412.93,24,16,Good,1,382.04,89508.64,2733.69,44.6,Business,Single,Bachelor,0,13,464.44,_,High_spent_Medium_value_payments,816.11,3824.74,Manager,Creditworthy
35,Male,17654.72,Musician,9,98692.74,12,13,Excellent,3,1452.82,8878.09,2056.1,30.44,Car,Single,Bachelor,1,14,301.81,Standard,Low_spent_Medium_value_payments,518.69,2257.66,Scientist,Not Creditworthy
27,Male,76113.09,Entrepreneur,4,148043.46,48,17,Poor,0,1127.46,37779.54,4112.32,32.87,Car,Single,Bachelor,1,13,283.75,_,Low_spent_Small_value_payments,1334.81,1195.19,Accountant,Not Creditworthy
38,Female,101977.44,Accountant,14,90584.01,12,15,Excellent,6,393.75,65835.47,1887.17,36.12,Education,Single,Diploma,0,29,429.78,Standard,High_spent_Medium_value_payments,1796.88,4561.21,Manager,Creditworthy
65,Male,10000,Entrepreneur,41,75948.38,12,14,Poor,7,2041.74,5957.61,1582.26,38.03,Medical,Single,High School,1,17,280.52,Standard,Low_spent_Small_value_payments,1188.36,961.15,Scientist,Not Creditworthy
46,Female,47074.64,Scientist,23,97097.77,60,10,Good,2,878.19,31683.5,4045.74,33.71,Education,Single,Master,0,5,365.91,_,High_spent_Medium_value_payments,1498.02,1904.28,Entrepreneur,Creditworthy
28,Male,70099.04,Teacher,7,102213.09,24,5,Poor,3,498.61,52204.01,1703.55,28.95,Business,Married,Bachelor,0,19,678.87,Standard,High_spent_Small_value_payments,53.73,11050.51,Developer,Creditworthy
32,Male,37302.1,Manager,10,64541.4,84,10,Poor,4,907.73,2730.67,1792.82,29.65,Home,Married,Bachelor,0,6,618.79,Standard,High_spent_Medium_value_payments,825.25,6574.13,Media_Manager,Creditworthy
36,Male,94454.1,Unemployed,15,200745.39,84,8,Good,3,1342.61,32933.28,16728.78,36.91,Home,Single,Bachelor,0,6,484.59,Good,High_spent_Large_value_payments,605.03,3037.99,Teacher,Creditworthy
39,Male,13050.62,Unemployed,13,50000,84,15,Good,2,1005.81,3675.27,1388.89,23.86,Car,Married,Master,1,9,848.57,Good,High_spent_Small_value_payments,1197.33,0,Developer,Not Creditworthy
65,Male,37302.1,Manager,44,88718.32,12,6,Average,4,907.73,11820.8,2464.4,39.23,Home,Married,Bachelor,0,27,138.79,_,Low_spent_Small_value_payments,4474.29,5207.17,Media_Manager,Creditworthy
44,Male,20703.48,Media_Manager,22,165799.78,60,9,Average,1,965.09,11168.92,13816.65,30.02,Personal,Married,Master,1,20,906.64,_,High_spent_Medium_value_payments,501.57,12267.95,Journalist,Not Creditworthy
24,Male,10000,Media_Manager,0,78193.17,84,25,Excellent,1,2085.35,7832.63,1629.02,23.24,Car,Single,High School,1,14,293.72,Standard,High_spent_Small_value_payments,62.66,873.87,Developer,Not Creditworthy
28,Female,99990.78,Engineer,3,312675.11,36,15,Excellent,1,146372.44,47790.02,6514.06,24.53,Home,Married,Bachelor,1,5,403.41,_,Low_spent_Large_value_payments,80.76,13743.05,Doctor,Not Creditworthy
29,Other,10000,Doctor,3,120887.32,12,16,Average,8,4064.57,2397,3357.98,32,Personal,Married,Diploma,1,28,190.5,Bad,Low_spent_Small_value_payments,4795.13,4295.41,Media_Manager,Not Creditworthy
31,Male,18793.34,Entrepreneur,6,95388.94,48,18,Good,2,863.66,9043.86,1589.82,38.99,Education,Single,High School,1,19,181.57,Bad,Low_spent_Large_value_payments,4813.02,1223.39,Musician,Not Creditworthy
20,Male,19758.84,Scientist,0,81747.47,12,20,Average,0,1352.88,5463.93,1362.46,35.34,Car,Single,High School,1,25,338.37,Standard,High_spent_Small_value_payments,1397.24,1567.79,Journalist,Not Creditworthy
42,Male,58674.66,Entrepreneur,16,92858.44,84,23,Good,4,2425.38,22863.49,3869.1,34.99,Medical,Single,High School,0,18,238.48,_,Low_spent_Large_value_payments,1127.57,1688.41,Teacher,Creditworthy
40,Female,36716.18,Entrepreneur,16,60745.02,12,9,Average,5,3124.9,7093.27,5062.08,34.31,Home,Single,Bachelor,1,17,196.58,Standard,Low_spent_Small_value_payments,1283.37,2898.38,Teacher,Not Creditworthy
35,Male,128189.37,Teacher,13,132855.07,48,11,Good,2,913.1,99466.78,5535.63,27.33,Car,Single,Master,0,12,828.78,Good,High_spent_Large_value_payments,702.26,7046.06,Teacher,Creditworthy
54,Male,41070.53,Accountant,28,179398.05,12,15,Good,3,1431.22,2867.35,14949.84,31.52,Medical,Single,Bachelor,0,12,299.72,Standard,High_spent_Small_value_payments,70.82,2471.64,Entrepreneur,Creditworthy
29,Female,31461.84,Scientist,4,94809.18,84,20,Excellent,5,886.09,2795.08,2633.59,32.29,Education,Married,Diploma,1,14,533.16,_,Low_spent_Large_value_payments,1436.96,9904.68,Writer,Not Creditworthy
24,Male,71809.76,Journalist,3,108676.34,24,20,Good,8,4439.92,53716.92,9056.36,35.84,Home,Married,Bachelor,1,33,223.82,Bad,Low_spent_Medium_value_payments,1538.13,7235.19,Accountant,Not Creditworthy
36,Male,16708.07,Unemployed,15,50000,48,14,Good,8,2674.89,3652.55,833.33,25.86,Medical,Married,Master,1,20,410.28,Bad,High_spent_Large_value_payments,3962.08,6450.54,Mechanic,Not Creditworthy
28,Male,72140.07,Lawyer,7,137674.88,48,14,Average,1,638.12,36623.59,5736.45,32.5,Business,Single,Diploma,1,23,436.12,Bad,High_spent_Medium_value_payments,1743.83,4704.92,Engineer,Not Creditworthy
28,Male,83722.39,Manager,4,179309.31,48,25,Good,4,1796.88,50718.61,2988.49,27.24,Personal,Single,High School,1,26,228.98,Standard,Low_spent_Small_value_payments,2076.13,1371.41,Developer,Not Creditworthy
30,Male,132872.72,Engineer,4,124351,60,9,Good,2,89.68,18395.98,3454.19,29.36,Business,Married,Master,0,28,351.71,Bad,High_spent_Large_value_payments,3133.49,5318.74,Accountant,Creditworthy
39,Female,19910.51,Engineer,14,112774.84,36,17,Average,5,3957.01,7479.42,9397.9,38.95,Business,Married,High School,1,9,518.68,_,High_spent_Medium_value_payments,147.77,5469.9,Musician,Not Creditworthy
18,Female,15119.56,Engineer,0,57498.23,12,9,Poor,6,3154.07,9084.54,958.3,40.31,Personal,Married,Master,1,12,238.85,Standard,Low_spent_Large_value_payments,198.53,0,_______,Not Creditworthy
25,Female,68742.75,Doctor,3,55645.52,36,24,Average,1,651.38,14373.59,1545.71,37.43,Business,Married,Diploma,1,24,368.97,Bad,High_spent_Small_value_payments,0,2337.01,Doctor,Not Creditworthy
30,Male,10000,Architect,7,76686.83,36,19,Poor,1,2114.92,2925.83,2130.19,24.69,Car,Single,Bachelor,1,2,1064.58,Good,High_spent_Large_value_payments,466.13,11134.71,Doctor,Not Creditworthy
53,Female,70741.04,Writer,32,195685.42,36,14,Excellent,0,799.89,27562.8,3261.42,27.85,Personal,Married,High School,0,6,243.15,Standard,High_spent_Medium_value_payments,788.59,9009.64,Writer,Creditworthy
31,Male,10000,Architect,10,50000,12,27,Excellent,8,2526.03,3009.67,1388.89,35.24,Personal,Single,Diploma,1,8,552.16,Good,!@9#%8,461.13,4977.76,Scientist,Not Creditworthy
26,Female,49967.01,Manager,0,85466.86,48,10,Good,6,2253.95,27527.05,3561.12,37.33,Car,Single,High School,1,8,240.64,Standard,Low_spent_Large_value_payments,2234.83,1729.44,Entrepreneur,Not Creditworthy
20,Male,27983.07,Architect,0,94634.27,12,17,Poor,0,1015.21,10358.64,1971.55,23.51,Home,Married,Bachelor,1,2200,150.73,Bad,Low_spent_Small_value_payments,4701.09,4999.04,Musician,Not Creditworthy
29,Male,36490.98,Mechanic,4,77184.13,60,13,Poor,4,581.05,18999.92,1608,36.29,Home,Single,Bachelor,1,9,689.26,_,High_spent_Medium_value_payments,638.12,5777.67,Lawyer,Not Creditworthy
18,Male,38760.82,Doctor,0,57262.71,24,19,Average,3,468.18,16597.93,1590.63,30.87,Home,Single,Bachelor,0,5,452.69,_,High_spent_Medium_value_payments,1037.45,5197.51,Scientist,Creditworthy
32,Female,63197.26,Mechanic,11,140462.04,84,24,Good,3,1435.94,26369.08,11705.17,24.14,Medical,Married,High School,1,30,228.43,Bad,Low_spent_Medium_value_payments,3164.78,4356.49,Entrepreneur,Not Creditworthy
39,Female,500000,Musician,17,70620.31,12,17,Good,7,4972.4,114122.97,1471.26,28.14,Car,Married,Master,0,29,297,Standard,Low_spent_Small_value_payments,1796.88,4561.21,Manager,Creditworthy
37,Male,30502.54,Entrepreneur,11,50000,48,13,Average,7,1672.68,23338.02,4166.67,37.61,Personal,Married,Diploma,1,27,0,Bad,Low_spent_Small_value_payments,4523.88,5309.23,_______,Not Creditworthy
30,Male,34081.38,Media_Manager,7,151098.75,84,10,Good,3,1704.18,9361.65,4197.19,38.44,Business,Married,Master,0,31,254.22,Bad,Low_spent_Small_value_payments,3580.71,1655.08,Entrepreneur,Creditworthy
44,Male,135115.44,Teacher,22,120705.56,48,6,Good,2,269.46,63781.65,2514.7,27.12,Home,Married,Master,1,13,861.87,Standard,High_spent_Large_value_payments,76.99,7704.68,_______,Not Creditworthy
27,Female,22332.29,Musician,2,85643.89,36,25,Average,3,716.83,15275.9,1427.4,38.35,Business,Married,High School,1,10,624.27,Good,Low_spent_Medium_value_payments,278.8,6584.95,Journalist,Not Creditworthy
20,Male,92047.08,Accountant,0,73913.71,60,19,Good,0,1296.64,27038.78,6159.48,27.79,Personal,Single,Master,1,13,663.9,Standard,!@9#%8,1083.29,5190.12,Writer,Not Creditworthy
27,Male,17759.1,Lawyer,2,84938.29,84,13,Good,5,3598.39,5758.66,2359.4,27.23,Home,Single,Bachelor,1,6,464.88,Good,High_spent_Medium_value_payments,605.03,0,Teacher,Not Creditworthy
28,Male,60116.7,Entrepreneur,2,81163.54,36,11,Good,7,2042.27,17475.98,1352.73,28.01,Medical,Married,Master,1,9,445.89,_,High_spent_Small_value_payments,1078.74,5312.12,Journalist,Not Creditworthy
34,Female,14851.27,Teacher,11,92817.27,60,24,Good,1,2867.66,2963.86,3867.39,29.36,Medical,Single,Bachelor,1,7,594.4,_,High_spent_Medium_value_payments,1106.06,0,Mechanic,Not Creditworthy
26,Female,146598.88,Musician,3,77805.52,12,17,Excellent,2,1294.06,96736.76,2161.26,44.52,Business,Married,Bachelor,1,17,431.2,_,High_spent_Large_value_payments,1450.92,3442.84,Manager,Not Creditworthy
41,Male,36963.52,Lawyer,17,109417.56,60,14,Excellent,8,2518.8,8561.33,2279.53,25.53,Personal,Single,Bachelor,1,17,249.47,Bad,Low_spent_Small_value_payments,3865.15,1437.78,Manager,Not Creditworthy
36,Male,18717.02,Journalist,12,59287.51,12,15,Good,5,2103.99,9929.46,1235.16,27.19,Car,Single,Bachelor,1,5,462.24,Standard,High_spent_Large_value_payments,1240.64,3743.26,Engineer,Not Creditworthy
35,Male,31754.27,Developer,11,100550.26,36,4,Good,4,647.94,9909.4,2793.06,23.75,Education,Married,High School,1,3325,643.87,Good,High_spent_Medium_value_payments,1295.18,0,Media_Manager,Not Creditworthy
21,Female,49178.48,Writer,0,50000,84,9,Good,4,1484.58,38067.74,4166.67,39.76,Car,Single,Bachelor,1,13,543.66,Standard,Low_spent_Small_value_payments,1083.29,5190.12,Writer,Not Creditworthy
31,Male,31993.78,Scientist,9,50000,12,13,Good,1,818.22,16555.76,2083.33,34.28,Personal,Divorced,Diploma,0,31,261.39,Bad,Low_spent_Small_value_payments,1954.62,870.43,_______,Creditworthy
39,Male,500000,Writer,18,82290.61,84,12,Average,1,4953.93,220096.85,2285.85,36.74,Home,Single,Diploma,0,10,412.67,Standard,High_spent_Large_value_payments,43.06,2316.54,Developer,Creditworthy
20,Male,72731.62,Lawyer,0,105034.2,84,13,Average,0,697.86,5504.92,2188.21,40.66,Personal,Single,PhD,1,12,617.69,Good,High_spent_Large_value_payments,1425.02,7127.46,Scientist,Not Creditworthy
55,Female,36154.19,Engineer,29,132694.82,36,14,Excellent,0,651.85,24425.23,11057.9,26.6,Home,Married,High School,1,17,383.3,_,High_spent_Medium_value_payments,4659.6,6625.69,_______,Not Creditworthy
29,Female,32900.5,Unemployed,3,102723.11,36,15,Average,2,47.18,8107.93,1712.05,26.55,Medical,Married,Bachelor,1,19,482.05,Bad,High_spent_Medium_value_payments,4685.34,5229.15,Doctor,Not Creditworthy
36,Female,10987.94,Developer,12,153286,12,6,Good,4,1384.32,830.74,6386.92,33.04,Business,Married,Diploma,0,7,825.8,_,Low_spent_Large_value_payments,1090.59,0,Writer,Creditworthy
18,Female,15823.87,Lawyer,0,50000,36,25,Good,8,3703.96,6556.87,833.33,39.25,Car,Single,PhD,1,18,229.48,Bad,High_spent_Large_value_payments,3380.69,1391.55,Journalist,Not Creditworthy
30,Male,51610,Architect,5,99227.7,36,22,Average,4,580.31,16243.77,2756.32,38,Car,Single,High School,0,17,267.79,_,Low_spent_Large_value_payments,1235.11,743.17,_______,Creditworthy
32,Female,79772.04,Engineer,9,109097.05,48,6,Excellent,3,1619.87,46993.75,9091.42,30.66,Personal,Single,High School,0,16,139.78,Bad,High_spent_Small_value_payments,3991.34,0,Journalist,Creditworthy
33,Male,94729.98,Accountant,9,114398,60,28,Excellent,8,3342.3,17543.41,3177.72,27.35,Education,Single,Diploma,1,34,208.7,Bad,!@9#%8,4983.86,1455.3,Media_Manager,Not Creditworthy
38,Female,12070.84,Media_Manager,12,129407.94,84,20,Average,4,759.86,1417.92,3594.66,22.59,Business,Single,Master,1,10,275.89,Standard,!@9#%8,878.19,4306.59,Scientist,Not Creditworthy
52,Male,41113.35,Unemployed,31,72063.82,36,19,Good,2,716.71,30076.24,1201.06,31.3,Education,Single,Master,1,19,610.24,Standard,High_spent_Medium_value_payments,244.16,4601.62,Manager,Not Creditworthy
36,Female,54392.16,Entrepreneur,12,140878.39,36,22,Average,3,179.22,22915.13,3913.29,35.11,Car,Married,Bachelor,0,1,372.57,_,Low_spent_Medium_value_payments,156.32,1660.41,Lawyer,Creditworthy
23,Female,72207.52,Teacher,2,145720.73,84,7,Good,5,1803.68,38495.63,2428.68,23.08,Education,Married,Master,1,16,335.99,Bad,High_spent_Small_value_payments,1823.34,1571.67,Musician,Not Creditworthy
22,Male,15081.12,Musician,0,168048.9,84,21,Average,4,1987.21,2180.87,4668.02,29.59,Personal,Single,Master,1,20,412.56,Standard,High_spent_Large_value_payments,695.61,2749.19,Developer,Not Creditworthy
41,Male,14722.08,Manager,15,121604.37,48,9,Good,1,1307.84,5029.46,2533.42,26.14,Education,Married,Bachelor,0,1,247.34,Good,High_spent_Small_value_payments,484.43,0,_______,Creditworthy
18,Female,87481.62,Entrepreneur,0,146785.84,84,6,Good,1,214.43,58629,2446.43,23.68,Home,Married,Master,1,6,639.89,Standard,High_spent_Large_value_payments,825.25,6574.13,_______,Not Creditworthy
24,Female,62835.08,Entrepreneur,2,92399.78,48,6,Good,2,306.85,46909.39,2566.66,29.11,Education,Single,Bachelor,0,25,185.05,Bad,Low_spent_Medium_value_payments,3053.16,6810.19,Lawyer,Creditworthy
47,Male,69869.92,Accountant,26,101405.73,60,22,Poor,2,220.97,53603.27,2816.83,29.4,Personal,Married,Master,0,16,983.71,Standard,!@9#%8,1075.84,8848.58,Writer,Creditworthy
18,Female,145934.16,Journalist,0,81549.88,60,19,Good,1,1334.34,95939.81,6795.82,37.09,Car,Single,Bachelor,1,18,450.5,Standard,High_spent_Medium_value_payments,551.18,3136.04,Doctor,Not Creditworthy
21,Male,35547.71,Developer,0,72255.86,36,13,Average,0,943.86,23909.32,1505.33,26.26,Business,Married,High School,1,8,362.03,Standard,Low_spent_Large_value_payments,44.85,7635.2,Doctor,Not Creditworthy
42,Female,10000,Unemployed,20,92781.02,24,15,Excellent,5,2758.61,1751.25,1932.94,26.92,Education,Single,Bachelor,1,24,248.83,Bad,High_spent_Small_value_payments,1716.56,514.27,Developer,Not Creditworthy
40,Male,57440.46,Musician,17,125590.56,84,23,Good,8,4362.52,42981.39,3488.63,30.7,Education,Single,Bachelor,1,21,273.83,Bad,Low_spent_Small_value_payments,3889.88,1145.46,Developer,Not Creditworthy
34,Male,20380.87,Lawyer,13,135832.78,48,7,Good,2,156.32,8689.72,2263.88,26.48,Business,Single,Bachelor,0,11,193.66,Standard,!@9#%8,707.33,2826.77,Lawyer,Creditworthy
27,Female,20373.24,Unemployed,5,66373.93,60,14,Good,2,1517.43,6336.04,1382.79,30.24,Business,Single,High School,1,32,250.48,Bad,Low_spent_Small_value_payments,4405.99,780.74,Lawyer,Not Creditworthy
51,Male,131617.4,Mechanic,30,128491.04,84,5,Average,0,929.47,61928.36,10707.59,29.59,Home,Single,Bachelor,0,5,790.38,Standard,High_spent_Large_value_payments,456.58,9095.03,Developer,Creditworthy
20,Female,78139.42,Scientist,0,119929.08,60,17,Average,0,1116.88,28746.28,9994.09,29.76,Business,Single,Bachelor,1,2,291.3,Good,High_spent_Medium_value_payments,1229.08,1176.4,Scientist,Not Creditworthy
36,Female,25621.01,Developer,14,79327.69,12,21,Good,2,1336.73,18844.56,1652.66,38.2,Business,Divorced,Bachelor,0,10,197.14,Good,Low_spent_Small_value_payments,479.81,2733.16,Architect,Creditworthy
38,Male,30450.84,Scientist,17,94397.89,12,12,Average,1,203.69,7159.87,2622.16,32.69,Personal,Divorced,Diploma,1,5,531.52,Standard,High_spent_Medium_value_payments,345.71,4300.73,Manager,Not Creditworthy
18,Female,94454.1,Teacher,0,132805.39,60,15,Excellent,0,1342.61,30200.5,11067.12,26.06,Home,Married,Bachelor,0,13,770.22,Standard,High_spent_Medium_value_payments,952.61,6648.2,Manager,Creditworthy
41,Male,61796.92,Accountant,18,142074.37,60,22,Average,8,3133.49,29288.84,3946.51,28.33,Business,Married,Master,1,9,352.15,_,!@9#%8,1259.92,1313.63,Entrepreneur,Not Creditworthy
50,Male,24667.16,Doctor,25,187216.93,12,21,Good,3,722.02,2696.31,3120.28,23.86,Home,Married,Master,1,11,443.91,Standard,Low_spent_Small_value_payments,2019.51,4816.97,Doctor,Not Creditworthy
27,Male,48428.1,Accountant,6,125560.91,24,25,Poor,8,4152.95,27059.82,2092.68,40.3,Personal,Single,Bachelor,1,11,518.72,Standard,High_spent_Small_value_payments,1001.74,5240.49,Architect,Not Creditworthy
54,Female,25020.07,Mechanic,33,120495.73,84,10,Good,0,94.75,12814.75,10041.31,36.36,Medical,Married,Bachelor,1,19,547.94,Standard,High_spent_Medium_value_payments,244.16,4601.62,Manager,Not Creditworthy
38,Male,34212.01,Teacher,16,50000,48,16,Good,3,512.38,8727.13,4166.67,28.44,Personal,Married,Bachelor,0,5,379.66,Good,Low_spent_Large_value_payments,595.94,2455.48,Lawyer,Creditworthy
43,Male,78999.96,Mechanic,22,82387.1,84,27,Average,4,2062.79,60228.18,2288.53,37.28,Home,Single,Bachelor,1,19,240.07,_,!@9#%8,244.16,0,Manager,Not Creditworthy
31,Female,148990.16,Unemployed,5,126979.94,48,14,Excellent,3,407.6,23049.13,2116.33,33.24,Personal,Single,Master,0,22,307.5,Bad,Low_spent_Large_value_payments,4183.22,872.51,Doctor,Creditworthy
34,Female,17791.55,Journalist,12,50000,12,26,Good,8,1682.62,1156.58,4166.67,33.41,Business,Married,High School,1,18,266.09,Standard,High_spent_Small_value_payments,1332.45,601.44,Architect,Not Creditworthy
40,Female,80863.14,Manager,16,97823.21,36,20,Good,4,1358.65,33169.75,1630.39,26.14,Personal,Single,Master,1,17,327.88,Standard,Low_spent_Small_value_payments,1178.6,1728.35,Lawyer,Not Creditworthy
31,Male,59971.42,Accountant,10,75327.01,84,9,Excellent,3,203.03,31034.66,2092.42,30.37,Personal,Single,Master,1,32,314.58,_,!@9#%8,2024.84,6453.93,Writer,Not Creditworthy
21,Male,32768.55,Scientist,0,110653.96,60,10,Good,4,505.14,22719.01,2305.29,28.48,Home,Married,Bachelor,1,6,549.39,Standard,Low_spent_Medium_value_payments,1078.02,4900.55,Manager,Not Creditworthy
31,Other,24726.48,Media_Manager,9,96880.15,36,22,Average,8,155.22,4310.62,8073.35,31.17,Personal,Married,Diploma,0,12,251.87,Standard,Low_spent_Large_value_payments,1427.56,1330.99,Lawyer,Creditworthy
45,Female,118879.68,Musician,23,50000,36,14,Average,6,233.76,43438.33,4166.67,35.4,Education,Married,Bachelor,0,7,578.58,Good,High_spent_Small_value_payments,1457.34,6966.98,Scientist,Creditworthy
33,Female,16599.37,Teacher,11,50000,24,7,Excellent,2,1251.25,8450.71,4166.67,29.66,Business,Single,High School,0,5,355.49,Standard,High_spent_Small_value_payments,1240.64,3743.26,Engineer,Creditworthy
19,Male,31122.79,Journalist,0,167935.69,36,13,Excellent,0,358.6,7666.44,13994.64,30.79,Home,Married,Diploma,1,15,279.08,_,High_spent_Small_value_payments,983.22,1027.31,Architect,Not Creditworthy
25,Female,80108.31,Doctor,4,113144.65,24,23,Good,0,997.28,51898.92,9428.72,26.17,Home,Single,Diploma,1,20,509.44,Standard,High_spent_Medium_value_payments,1590.87,4465.42,Musician,Not Creditworthy
27,Male,33077.82,Journalist,3,141696.43,48,20,Excellent,5,1629.98,2765.66,5904.02,32.32,Personal,Married,Diploma,1,16,308.5,Bad,!@9#%8,2537.18,1206.71,Scientist,Not Creditworthy
20,Male,81903.8,Lawyer,0,50000,84,18,Excellent,0,697.86,56385.9,1041.67,35.94,Medical,Married,Bachelor,1,13,441.16,Standard,High_spent_Medium_value_payments,1276.72,4618.78,Developer,Not Creditworthy
37,Female,57827.1,Journalist,16,83563.97,60,10,Good,1,1153.03,41778.38,1392.73,23.64,Medical,Single,Master,1,14,431.34,_,!@9#%8,1314.56,3177.56,Writer,Not Creditworthy
49,Female,65912.38,Accountant,27,140269.34,48,8,Good,0,300.63,24479.35,2337.82,39.92,Medical,Single,Master,0,18,228.33,_,Low_spent_Small_value_payments,3271.84,0,_______,Creditworthy
40,Male,10000,Lawyer,17,114673.78,84,1601,Average,5,2506.45,7332.27,3185.38,29.86,Home,Single,High School,1,16,342.93,Bad,High_spent_Medium_value_payments,3119.6,3224.94,Developer,Not Creditworthy
43,Male,18957.37,Mechanic,17,145552.47,84,6,Excellent,2,288.32,2518.71,12129.37,38.35,Home,Single,Diploma,0,3,124.99,Good,!@9#%8,1340.41,3360.83,Media_Manager,Creditworthy
28,Male,162144.64,Doctor,3,57352.48,48,4,Good,1,80.76,78658.42,4779.37,47.18,Personal,Single,Bachelor,1,6,595.9,Good,High_spent_Large_value_payments,396.97,7097.24,Engineer,Not Creditworthy
51,Female,84031.02,Unemployed,28,88863.32,84,21,Poor,0,1325.84,19414.08,2468.43,39.41,Business,Single,High School,0,11,388.2,Good,Low_spent_Medium_value_payments,791.51,3430.11,Engineer,Creditworthy
39,Female,10000,Entrepreneur,15,108097.28,36,21,Excellent,7,2041.74,7259.66,9008.11,24.41,Personal,Divorced,Diploma,1,24,280.17,Bad,Low_spent_Small_value_payments,3873.09,943.68,Media_Manager,Not Creditworthy
29,Female,34107.42,Scientist,3,83520.63,24,18,Good,2,884.77,24770,1392.01,28.84,Home,Married,Master,1,15,300.43,Standard,Low_spent_Large_value_payments,736.97,3552.52,Architect,Not Creditworthy
51,Female,138142.16,Musician,29,72761.23,12,10,Good,4,174.79,53492.56,1515.86,26.08,Personal,Married,Master,0,15,363.24,Bad,High_spent_Medium_value_payments,3793.7,4453.13,Entrepreneur,Creditworthy
53,Male,66732.58,Musician,32,136671.95,12,14,Good,0,244.07,34768.33,5694.66,39.82,Home,Single,Bachelor,0,14,387.4,Standard,High_spent_Medium_value_payments,1314.56,3177.56,Writer,Creditworthy
40,Female,19065.32,Scientist,16,157023.28,24,18,Excellent,5,2008.06,9450.21,6542.64,39.49,Personal,Married,Diploma,1,34,395.05,Bad,High_spent_Small_value_payments,4152.95,4242.68,Accountant,Not Creditworthy
21,Male,69977.6,Scientist,0,165197.41,24,23,Average,8,3042.36,6743.6,3441.61,36.25,Personal,Married,Master,1,30,248.49,Bad,Low_spent_Small_value_payments,4041.44,2869.98,Mechanic,Not Creditworthy
65,Male,11866.34,Entrepreneur,42,85259.22,60,20,Average,1,276.34,5917.71,2368.31,35.77,Medical,Single,Bachelor,0,20,233.65,Bad,Low_spent_Large_value_payments,1539.61,1458.54,Mechanic,Creditworthy
44,Female,14976.45,Journalist,20,51600.15,84,12,Excellent,0,69.51,7030.62,1075,30.93,Education,Married,Master,0,13,569.6,_,High_spent_Medium_value_payments,220.97,0,Accountant,Creditworthy
